fips,county,state,state_code,male_count,female_count,median_age,population,female_percentage,lat,long,financialdata,total_count
15007,Kauai County,Hawaii,HI,35375,36002,42.4,71377,50.43921711475685,22.03962536798675,-159.59634878220444,15007.0,71377
15009,Maui County,Hawaii,HI,82437,82844,41.1,165281,50.12312365002632,20.85964011353776,-156.56484629546918,15009.0,165281
16001,Ada County,Idaho,ID,223367,222685,36.7,446052,49.923551514173234,43.4510924135356,-116.2411608694026,16001.0,446052
16003,Adams County,Idaho,ID,2093,1926,54.2,4019,47.92236874844489,44.889593222254135,-116.45382543640274,16003.0,4019
16005,Bannock County,Idaho,ID,42300,42765,33.3,85065,50.2733204020455,42.66848736883945,-112.2246106315902,16005.0,85065
16007,Bear Lake County,Idaho,ID,2898,3064,39.3,5962,51.392150285139216,42.28478414560279,-111.3296870231912,16007.0,5962
16009,Benewah County,Idaho,ID,4607,4479,46.1,9086,49.29561963460268,47.21755258065864,-116.65870892318664,16009.0,9086
16011,Bingham County,Idaho,ID,22746,22805,33.5,45551,50.06476257381836,43.21655175084742,-112.39809334143744,16011.0,45551
16013,Blaine County,Idaho,ID,11251,10743,43.2,21994,48.84513958352278,43.41194442285568,-113.9801748029922,16013.0,21994
16015,Boise County,Idaho,ID,3780,3383,53.0,7163,47.22881474242636,43.98913016767068,-115.73036319079512,16015.0,7163
16017,Bonner County,Idaho,ID,21366,21345,47.8,42711,49.97541616913676,48.30004320072049,-116.60107557638288,16017.0,42711
16019,Bonneville County,Idaho,ID,56237,56160,32.7,112397,49.965746416719306,43.38773727219922,-111.61479126751084,16019.0,112397
16021,Boundary County,Idaho,ID,5735,5814,43.5,11549,50.34202095419517,48.766868569461685,-116.46287427634844,16021.0,11549
16023,Butte County,Idaho,ID,1342,1260,48.1,2602,48.42428900845504,43.7229121870266,-113.17206737202956,16023.0,2602
16025,Camas County,Idaho,ID,433,453,46.3,886,51.12866817155757,43.46332936895208,-114.80576739792691,16025.0,886
16027,Canyon County,Idaho,ID,104902,107328,33.4,212230,50.571549733779385,43.62513686554448,-116.7093125890369,16027.0,212230
16029,Caribou County,Idaho,ID,3543,3375,36.9,6918,48.78577623590633,42.77049662452163,-111.56225975044258,16029.0,6918
16031,Cassia County,Idaho,ID,12039,11576,32.2,23615,49.01969087444421,42.28388223476903,-113.60010075689284,16031.0,23615
16033,Clark County,Idaho,ID,570,507,29.6,1077,47.07520891364902,44.2839184961641,-112.3512463932217,16033.0,1077
16035,Clearwater County,Idaho,ID,4790,3850,50.2,8640,44.56018518518518,46.67364381877157,-115.6566840809516,16035.0,8640
16037,Custer County,Idaho,ID,2165,1976,53.3,4141,47.71794252595991,44.24112590596943,-114.2817280975178,16037.0,4141
16039,Elmore County,Idaho,ID,13858,12575,31.9,26433,47.57310937086218,43.353955143058585,-115.46929719662232,16039.0,26433
16041,Franklin County,Idaho,ID,6787,6492,33.4,13279,48.88922358611341,42.1810993823498,-111.8131968139563,16041.0,13279
16043,Fremont County,Idaho,ID,6766,6199,36.8,12965,47.81334361743155,44.22879172803202,-111.48194033762113,16043.0,12965
16045,Gem County,Idaho,ID,8354,8698,45.1,17052,51.00867933380249,44.06154619190838,-116.39751661550372,16045.0,17052
16047,Gooding County,Idaho,ID,7911,7258,37.8,15169,47.84758388819302,42.97102592237642,-114.81153827830832,16047.0,15169
16049,Idaho County,Idaho,ID,8537,7800,50.0,16337,47.74438391381526,45.84406963114124,-115.46750875765208,16049.0,16337
16051,Jefferson County,Idaho,ID,14295,13674,31.2,27969,48.88984232543173,43.82015471609615,-112.31130823310612,16051.0,27969
16053,Jerome County,Idaho,ID,11801,11630,32.7,23431,49.63509880073407,42.689875957030544,-114.26392555344331,16053.0,23431
16055,Kootenai County,Idaho,ID,75890,77715,40.2,153605,50.59405618306696,47.67437462572388,-116.70182621419232,16055.0,153605
16057,Latah County,Idaho,ID,19894,19345,28.3,39239,49.30044088789215,46.81617003676458,-116.71168186657472,16057.0,39239
16059,Lemhi County,Idaho,ID,3948,3850,52.3,7798,49.371633752244165,44.9432557461301,-113.9332520150922,16059.0,7798
16061,Lewis County,Idaho,ID,1911,1934,48.3,3845,50.29908972691808,46.237000971122,-116.42631505924324,16061.0,3845
16063,Lincoln County,Idaho,ID,2766,2555,35.0,5321,48.01728998308589,43.00237269629252,-114.13827390348872,16063.0,5321
16065,Madison County,Idaho,ID,19529,19176,23.4,38705,49.54398656504328,43.78414736067104,-111.65923422083544,16065.0,38705
16067,Minidoka County,Idaho,ID,10377,10238,35.2,20615,49.66286684453068,42.85429247244846,-113.63747008364714,16067.0,20615
16069,Nez Perce County,Idaho,ID,19758,20397,40.9,40155,50.79566679118416,46.326815531052326,-116.75024312060062,16069.0,40155
16071,Oneida County,Idaho,ID,2083,2243,37.9,4326,51.84928340268146,42.1949744051421,-112.53936630028448,16071.0,4326
16073,Owyhee County,Idaho,ID,5874,5581,38.4,11455,48.72108249672632,42.58149963776419,-116.16991543684432,16073.0,11455
16075,Payette County,Idaho,ID,11470,11571,39.9,23041,50.21917451499501,44.00675700258795,-116.760821112899,16075.0,23041
16077,Power County,Idaho,ID,3781,3932,37.7,7713,50.97886684817839,42.693644414612734,-112.84066931679524,16077.0,7713
16079,Shoshone County,Idaho,ID,6267,6259,47.4,12526,49.968066421842565,47.352940813146894,-115.89236293560565,16079.0,12526
16081,Teton County,Idaho,ID,5887,5193,36.6,11080,46.868231046931406,43.75944550159856,-111.20762183167244,16081.0,11080
16083,Twin Falls County,Idaho,ID,41204,42462,34.7,83666,50.75179881911409,42.35596961880623,-114.66715073308558,16083.0,83666
16085,Valley County,Idaho,ID,5486,4915,48.7,10401,47.2550716277281,44.76660705705652,-115.56633740420315,16085.0,10401
16087,Washington County,Idaho,ID,4966,5059,45.4,10025,50.46384039900249,44.452423819640416,-116.78473628222136,16087.0,10025
17001,Adams County,Illinois,IL,32481,33946,41.3,66427,51.10271425775663,39.98787833459664,-91.18855698686085,17001.0,66427
17003,Alexander County,Illinois,IL,3104,3428,42.8,6532,52.48009797917943,37.191519120097794,-89.33756197374385,17003.0,6532
17005,Bond County,Illinois,IL,8587,8125,41.3,16712,48.61775969363332,38.88683305359005,-89.43554636928486,17005.0,16712
17007,Boone County,Illinois,IL,26830,26776,38.4,53606,49.9496325038242,42.32307877435641,-88.82338302966701,17007.0,53606
